வகுப்பு,இயல்,கேள்வி,முழுமையான வாக்கியம் (விடை),கலைக்கப்பட வேண்டிய சொற்கள்
6-ஆம் வகுப்பு,இயல் 2,சிலப்பதிகாரத்தை இயற்றியவர் யார்?,சிலப்பதிகாரத்தை இயற்றியவர் இளங்கோவடிகள் ஆவார்.,இளங்கோவடிகள்
6-ஆம் வகுப்பு,இயல் 2,இளங்கோவடிகள் எந்த மரபைச் சேர்ந்தவர்?,இளங்கோவடிகள் சேர மரபைச் சேர்ந்தவர்.,சேர
6-ஆம் வகுப்பு,இயல் 2,காணி நிலம் வேண்டும் என்று பாடியவர் யார்?,காணி நிலம் வேண்டும் என்று பாடியவர் பாரதியார் ஆவார்.,பாரதியார்
6-ஆம் வகுப்பு,இயல் 2,சித்தம்' என்பதன் பொருள் என்ன?,சித்தம்' என்பதன் பொருள் உள்ளம் என்பதாகும்.,உள்ளம்
6-ஆம் வகுப்பு,இயல் 2,மாடங்கள் என்பதன் பொருள் என்ன?,மாடங்கள் என்பதன் பொருள் மாளிகையின் அடுக்குகள் என்பதாகும்.,"மாளிகையின், அடுக்குகள்"
6-ஆம் வகுப்பு,இயல் 2,பறவைகள் இடம்பெயர்தலை எவ்வாறு அழைப்பர்?,பறவைகள் இடம்பெயர்தலை வலசை போதல் என்று அழைப்பர்.,வலசை
6-ஆம் வகுப்பு,இயல் 2,நாராய் நாராய் செங்கால் நாராய் என்ற பாடலை எழுதியவர் யார்?,நாராய் நாராய் செங்கால் நாராய் என்ற பாடலை எழுதியவர் சத்திமுத்தப் புலவர்.,"சத்திமுத்தப், புலவர்"
6-ஆம் வகுப்பு,இயல் 2,சிட்டுக்குருவி வாழ முடியாத பகுதி எது?,சிட்டுக்குருவி வாழ முடியாத பகுதி துருவப் பகுதி ஆகும்.,துருவப்
6-ஆம் வகுப்பு,இயல் 2,கிழவனும் கடலும் நூலின் ஆசிரியர் யார்?,கிழவனும் கடலும் நூலின் ஆசிரியர் எர்னஸ்ட் ஹெமிங்வே ஆவார்.,"எர்னஸ்ட், ஹெமிங்வே"
6-ஆம் வகுப்பு,இயல் 2,சாண்டியாகோவுக்கு எத்தனை நாட்களாக மீன் கிடைக்கவில்லை?,சாண்டியாகோவுக்கு எண்பத்து நான்கு நாட்களாக மீன் கிடைக்கவில்லை.,"எண்பத்து, நான்கு"
6-ஆம் வகுப்பு,இயல் 3,அறிவியல் ஆத்திசூடி எழுதியவர் யார்?,அறிவியல் ஆத்திசூடி எழுதியவர் நெல்லை சு. முத்து ஆவார்.,"நெல்லை, முத்து"
6-ஆம் வகுப்பு,இயல் 3,வானை அளப்போம் கடல் மீனை அளப்போம் என்று பாடியவர் யார்?,வானை அளப்போம் கடல் மீனை அளப்போம் என்று பாடியவர் பாரதியார் ஆவார்.,பாரதியார்
6-ஆம் வகுப்பு,இயல் 3,ரோபோ என்ற சொல்லை முதன்முதலில் பயன்படுத்தியவர் யார்?,ரோபோ என்ற சொல்லை முதன்முதலில் பயன்படுத்தியவர் காரல் கபெக் ஆவார்.,"காரல், கபெக்"
6-ஆம் வகுப்பு,இயல் 3,சோபியா ரோபோவுக்கு குடியுரிமை வழங்கிய நாடு எது?,சோபியா ரோபோவுக்கு குடியுரிமை வழங்கிய நாடு சவுதி அரேபியா ஆகும்.,"சவுதி, அரேபியா"
6-ஆம் வகுப்பு,இயல் 3,அப்துல் கலாமுக்கு மிகவும் பிடித்த நூல் எது?,அப்துல் கலாமுக்கு மிகவும் பிடித்த நூல் திருக்குறள் ஆகும்.,திருக்குறள்
6-ஆம் வகுப்பு,இயல் 3,விளக்குகள் பல தந்த ஒளி நூலின் ஆசிரியர் யார்?,விளக்குகள் பல தந்த ஒளி நூலின் ஆசிரியர் லிலியன் வாட்சன் ஆவார்.,"லிலியன், வாட்சன்"
6-ஆம் வகுப்பு,இயல் 3,கார்பன் இழையைக் கொண்டு எத்தனை கிராமில் செயற்கைக்கால் உருவாக்கப்பட்டது?,கார்பன் இழையைக் கொண்டு முந்நூறு கிராமில் செயற்கைக்கால் உருவாக்கப்பட்டது.,முந்நூறு
6-ஆம் வகுப்பு,இயல் 3,அறிவு அற்றம் காக்கும் கருவி என்று கூறியவர் யார்?,அறிவு அற்றம் காக்கும் கருவி என்று கூறியவர் திருவள்ளுவர் ஆவார்.,திருவள்ளுவர்
6-ஆம் வகுப்பு,இயல் 3,நுட்பமாகச் சிந்தித்து அறிவது' எவ்வகை அறிவு?,நுட்பமாகச் சிந்தித்து அறிவது' நுண்ணறிவு ஆகும்.,நுண்ணறிவு
6-ஆம் வகுப்பு,இயல் 3,தானியங்கிகளுக்கும் எந்திரமனிதர்களுக்கும் இடையே உள்ள முக்கிய வேறுபாடு என்ன?,தானியங்கிகளுக்கும் எந்திரமனிதர்களுக்கும் இடையே உள்ள முக்கிய வேறுபாடு செயற்கை நுண்ணறிவு ஆகும்.,"செயற்கை, நுண்ணறிவு"
6-ஆம் வகுப்பு,இயல் 4,மூதுரை என்னும் நூலின் ஆசிரியர் யார்?,மூதுரை என்னும் நூலின் ஆசிரியர் ஔவையார் ஆவார்.,ஔவையார்
6-ஆம் வகுப்பு,இயல் 4,மூதுரையில் எத்தனை பாடல்கள் உள்ளன?,மூதுரையில் முப்பத்தொன்று பாடல்கள் உள்ளன.,முப்பத்தொன்று
6-ஆம் வகுப்பு,இயல் 4,துன்பம் வெல்லும் கல்வி பாடலின் ஆசிரியர் யார்?,துன்பம் வெல்லும் கல்வி பாடலின் ஆசிரியர் பட்டுக்கோட்டை கல்யாணசுந்தரம் ஆவார்.,"பட்டுக்கோட்டை, கல்யாணசுந்தரம்"
6-ஆம் வகுப்பு,இயல் 4,கல்விக்கண் திறந்தவர் என்று காமராசரைப் போற்றியவர் யார்?,கல்விக்கண் திறந்தவர் என்று காமராசரைப் போற்றியவர் பெரியார் ஆவார்.,பெரியார்
6-ஆம் வகுப்பு,இயல் 4,காமராசர் பிறந்த நாள் எவ்வாறு கொண்டாடப்படுகிறது?,காமராசர் பிறந்த நாள் கல்வி வளர்ச்சி நாள் என்று கொண்டாடப்படுகிறது.,வளர்ச்சி
6-ஆம் வகுப்பு,இயல் 4,ஆசியாவிலேயே இரண்டாவது பெரிய நூலகம் எங்குள்ளது?,ஆசியாவிலேயே இரண்டாவது பெரிய நூலகம் தமிழ்நாட்டில் உள்ளது.,தமிழ்நாட்டில்
6-ஆம் வகுப்பு,இயல் 4,அண்ணா நூற்றாண்டு நூலகம் எத்தனை அடுக்குகளைக் கொண்டது?,அண்ணா நூற்றாண்டு நூலகம் எட்டு அடுக்குகளைக் கொண்டது.,எட்டு
6-ஆம் வகுப்பு,இயல் 4,சிறந்த நூலகர்களுக்கான விருது எந்தப் பெயரில் வழங்கப்படுகிறது?,சிறந்த நூலகர்களுக்கான விருது டாக்டர் அரங்கநாதன் பெயரில் வழங்கப்படுகிறது.,அரங்கநாதன்
6-ஆம் வகுப்பு,இயல் 4,பார்வைத் திறன் குறைபாடுடையோருக்கான நூல்கள் எவ்வடிவில் இருக்கும்?,பார்வைத் திறன் குறைபாடுடையோருக்கான நூல்கள் பிரெய்லி வடிவில் இருக்கும்.,பிரெய்லி
6-ஆம் வகுப்பு,இயல் 4,நூலகத்தில் படித்து உயர்நிலை அடைந்தவர்களுள் ஒருவர் யார்?,நூலகத்தில் படித்து உயர்நிலை அடைந்தவர்களுள் ஒருவர் அறிஞர் அண்ணா ஆவார்.,"அறிஞர், அண்ணா"
6-ஆம் வகுப்பு,இயல் 5,ஆசாரக்கோவை நூலின் ஆசிரியர் யார்?,ஆசாரக்கோவை நூலின் ஆசிரியர் பெருவாயின் முள்ளியார் ஆவார்.,"பெருவாயின், முள்ளியார்"
6-ஆம் வகுப்பு,இயல் 5,ஆசாரக்கோவை எத்தனை வெண்பாக்களைக் கொண்டது?,ஆசாரக்கோவை நூறு வெண்பாக்களைக் கொண்டது.,நூறு
6-ஆம் வகுப்பு,இயல் 5,தாலாட்டு எவ்வகை இலக்கியங்களுள் ஒன்று?,தாலாட்டு வாய்மொழி இலக்கியங்களுள் ஒன்று.,வாய்மொழி
6-ஆம் வகுப்பு,இயல் 5,தால்' என்பதன் பொருள் என்ன?,தால்' என்பதன் பொருள் நாக்கு என்பதாகும்.,நாக்கு
6-ஆம் வகுப்பு,இயல் 5,தமிழர் திருநாள் என்று போற்றப்படும் விழா எது?,தமிழர் திருநாள் என்று போற்றப்படும் விழா பொங்கல் விழா ஆகும்.,பொங்கல்
6-ஆம் வகுப்பு,இயல் 5,பழையன கழிதலும் புதியன புகுதலும் என்று கூறும் நூல் எது?,பழையன கழிதலும் புதியன புகுதலும் என்று கூறும் நூல் நன்னூல் ஆகும்.,நன்னூல்
6-ஆம் வகுப்பு,இயல் 5,திருவள்ளுவர் ஆண்டு எந்த நாளில் தொடங்குகிறது?,திருவள்ளுவர் ஆண்டு தை முதல் நாளில் தொடங்குகிறது.,தை
6-ஆம் வகுப்பு,இயல் 5,மாமல்லபுரச் சிற்பங்கள் எத்தனை தலைமுறைகளாக உருவாக்கப்பட்டன?,மாமல்லபுரச் சிற்பங்கள் நான்கு தலைமுறைகளாக உருவாக்கப்பட்டன.,நான்கு
6-ஆம் வகுப்பு,இயல் 5,பஞ்ச பாண்டவர் ரதம் அமைந்துள்ள இடம் எது?,பஞ்ச பாண்டவர் ரதம் அமைந்துள்ள இடம் மாமல்லபுரம் ஆகும்.,மாமல்லபுரம்
6-ஆம் வகுப்பு,இயல் 5,சிற்பக்கலை எத்தனை வகைப்படும்?,சிற்பக்கலை நான்கு வகைப்படும்.,நான்கு
6-ஆம் வகுப்பு,இயல் 6,நானிலம் படைத்தவன் பாடலை எழுதியவர் யார்?,நானிலம் படைத்தவன் பாடலை எழுதியவர் முடியரசன் ஆவார்.,முடியரசன்
6-ஆம் வகுப்பு,இயல் 6,முடியரசனின் இயற்பெயர் என்ன?,முடியரசனின் இயற்பெயர் துரைராசு ஆகும்.,துரைராசு
6-ஆம் வகுப்பு,இயல் 6,வெள்ளிப் பனிமலையின் மீது உலாவுவோம் என்று பாடியவர் யார்?,வெள்ளிப் பனிமலையின் மீது உலாவுவோம் என்று பாடியவர் பாரதியார் ஆவார்.,பாரதியார்
6-ஆம் வகுப்பு,இயல் 6,மீனவர்களுக்கு குடையாகவும் கூரையாகவும் விளங்குவது எது?,மீனவர்களுக்கு குடையாகவும் கூரையாகவும் விளங்குவது கட்டுமரம் ஆகும்.,கட்டுமரம்
6-ஆம் வகுப்பு,இயல் 6,நெய்தல் நிலத்தவரின் முக்கியத் தொழில் என்ன?,நெய்தல் நிலத்தவரின் முக்கியத் தொழில் மீன்பிடித்தல் ஆகும்.,மீன்பிடித்தல்
6-ஆம் வகுப்பு,இயல் 6,வணிகரை 'நடுவு நின்ற நன்னெஞ்சினோர்' என்று பாராட்டும் நூல் எது?,வணிகரை 'நடுவு நின்ற நன்னெஞ்சினோர்' என்று பாராட்டும் நூல் பட்டினப்பாலை ஆகும்.,பட்டினப்பாலை
6-ஆம் வகுப்பு,இயல் 6,தமிழ்நாட்டின் தலைசிறந்த துறைமுகமாக விளங்கியது எது?,தமிழ்நாட்டின் தலைசிறந்த துறைமுகமாக விளங்கியது பூம்புகார் ஆகும்.,பூம்புகார்
6-ஆம் வகுப்பு,இயல் 6,தன்னாடு விளைந்த வெண்ணெல் தந்து எனக் கூறும் நூல் எது?,தன்னாடு விளைந்த வெண்ணெல் தந்து எனக் கூறும் நூல் நற்றிணை ஆகும்.,நற்றிணை
6-ஆம் வகுப்பு,இயல் 6,பாலோடு வந்து கூழோடு பெயரும் என்ற வரி இடம்பெறும் நூல் எது?,பாலோடு வந்து கூழோடு பெயரும் என்ற வரி இடம்பெறும் நூல் குறுந்தொகை ஆகும்.,குறுந்தொகை
6-ஆம் வகுப்பு,இயல் 6,இணையவழி வணிகம் எதன் மூலம் நடைபெறுகிறது?,இணையவழி வணிகம் இணையதளம் மூலம் நடைபெறுகிறது.,இணையதளம்
6-ஆம் வகுப்பு,இயல் 7,தாராபாரதியின் இயற்பெயர் என்ன?,தாராபாரதியின் இயற்பெயர் ராதாகிருஷ்ணன் ஆகும்.,ராதாகிருஷ்ணன்
6-ஆம் வகுப்பு,இயல் 7,கவிஞாயிறு என்னும் அடைமொழி பெற்றவர் யார்?,கவிஞாயிறு என்னும் அடைமொழி பெற்றவர் தாராபாரதி ஆவார்.,தாராபாரதி
6-ஆம் வகுப்பு,இயல் 7,தேசம் உடுத்திய நூலாடை என்று கவிஞர் குறிப்பிடும் நூல் எது?,தேசம் உடுத்திய நூலாடை என்று கவிஞர் குறிப்பிடும் நூல் திருக்குறள் ஆகும்.,திருக்குறள்
6-ஆம் வகுப்பு,இயல் 7,காந்தியடிகளைப் பெரிதும் கவர்ந்த தமிழ் நூல் எது?,காந்தியடிகளைப் பெரிதும் கவர்ந்த தமிழ் நூல் திருக்குறள் ஆகும்.,திருக்குறள்
6-ஆம் வகுப்பு,இயல் 7,காந்தியடிகள் எப்போது தமிழ்நாட்டிற்கு முதன்முதலில் வந்தார்?,காந்தியடிகள் ஆயிரத்துத் தொள்ளாயிரத்து பத்தொன்பது ஆம் ஆண்டு தமிழ்நாட்டிற்கு முதன்முதலில் வந்தார்.,"தொள்ளாயிரத்து, பத்தொன்பது"
6-ஆம் வகுப்பு,இயல் 7,காந்தியடிகள் எந்த ஊர் மாநாட்டில் தமிழைப் படிக்கத் தொடங்கினார்?,காந்தியடிகள் மதுரை மாநாட்டில் தமிழைப் படிக்கத் தொடங்கினார்.,மதுரை
6-ஆம் வகுப்பு,இயல் 7,உ.வே.சா அவர்களின் தமிழ் நடையைக் கண்டு வியந்தவர் யார்?,உ.வே.சா அவர்களின் தமிழ் நடையைக் கண்டு வியந்தவர் காந்தியடிகள் ஆவார்.,காந்தியடிகள்
6-ஆம் வகுப்பு,இயல் 7,வேலுநாச்சியார் எந்தப் பகுதியின் அரசி?,வேலுநாச்சியார் சிவகங்கை பகுதியின் அரசி.,சிவகங்கை
6-ஆம் வகுப்பு,இயல் 7,வேலுநாச்சியாரின் அமைச்சர் யார்?,வேலுநாச்சியாரின் அமைச்சர் தாண்டவராயர் ஆவார்.,தாண்டவராயர்
6-ஆம் வகுப்பு,இயல் 7,வேலுநாச்சியாருக்கு உதவிய மைசூர் மன்னர் யார்?,வேலுநாச்சியாருக்கு உதவிய மைசூர் மன்னர் ஐதர் அலி ஆவார்.,"ஐதர், அலி"
6-ஆம் வகுப்பு,இயல் 8,பராபரக்கண்ணி பாடலை இயற்றியவர் யார்?,பராபரக்கண்ணி பாடலை இயற்றியவர் தாயுமானவர் ஆவார்.,தாயுமானவர்
6-ஆம் வகுப்பு,இயல் 8,தாயுமானவர் யாரிடம் தலைமைக் கணக்கராகப் பணியாற்றினார்?,தாயுமானவர் விசயரகுநாத சொக்கலிங்கரிடம் தலைமைக் கணக்கராகப் பணியாற்றினார்.,"விசயரகுநாத, சொக்கலிங்கரிடம்"
6-ஆம் வகுப்பு,இயல் 8,தமிழ் மொழியின் உபநிடதம் என்று அழைக்கப்படும் நூல் எது?,தமிழ் மொழியின் உபநிடதம் என்று அழைக்கப்படும் நூல் தாயுமானவர் பாடல்கள் ஆகும்.,தாயுமானவர்
6-ஆம் வகுப்பு,இயல் 8,கண்ணி' என்பது எத்தனை அடிகளில் பாடப்படும் பாடல்?,கண்ணி' என்பது இரண்டு அடிகளில் பாடப்படும் பாடல்.,இரண்டு
6-ஆம் வகுப்பு,இயல் 8,கலீல் கிப்ரான் எந்த நாட்டைச் சேர்ந்தவர்?,கலீல் கிப்ரான் லெபனான் நாட்டைச் சேர்ந்தவர்.,லெபனான்
6-ஆம் வகுப்பு,இயல் 8,கலீல் கிப்ரான் பாடல்களைத் தமிழில் மொழிபெயர்த்தவர் யார்?,கலீல் கிப்ரான் பாடல்களைத் தமிழில் மொழிபெயர்த்தவர் புவியரசு ஆவார்.,புவியரசு
6-ஆம் வகுப்பு,இயல் 8,தனி ஒருவனுக்கு உணவில்லை எனில் இச்சகத்தினை அழித்திடுவோம் என்றவர் யார்?,தனி ஒருவனுக்கு உணவில்லை எனில் இச்சகத்தினை அழித்திடுவோம் என்றவர் பாரதியார்.,பாரதியார்
6-ஆம் வகுப்பு,இயல் 8,மணிமேகலை தெய்வம் மணிமேகலையை எங்கு அழைத்துச் சென்றது?,மணிமேகலை தெய்வம் மணிமேகலையை மணிபல்லவத் தீவிற்கு அழைத்துச் சென்றது.,மணிபல்லவத்
6-ஆம் வகுப்பு,இயல் 8,அமுதசுரபியில் முதலில் உணவையிட்ட பெண் யார்?,அமுதசுரபியில் முதலில் உணவையிட்ட பெண் ஆதிரை ஆவாள்.,ஆதிரை
6-ஆம் வகுப்பு,இயல் 8,சிறைக்கோட்டம் அறக்கோட்டமாக மாற வேண்டும் என்று கூறியவர் யார்?,சிறைக்கோட்டம் அறக்கோட்டமாக மாற வேண்டும் என்று கூறியவர் மணிமேகலை ஆவார்.,மணிமேகலை
6-ஆம் வகுப்பு,இயல் 9,ஆசிய ஜோதி என்னும் நூலை எழுதியவர் யார்?,ஆசிய ஜோதி என்னும் நூலை எழுதியவர் கவிமணி தேசிய விநாயகனார் ஆவார்.,"கவிமணி, விநாயகனார்"
6-ஆம் வகுப்பு,இயல் 9,லைட் ஆஃப் ஆசியா என்னும் நூலை எழுதியவர் யார்?,லைட் ஆஃப் ஆசியா என்னும் நூலை எழுதியவர் எட்வின் அர்னால்டு ஆவார்.,"எட்வின், அர்னால்டு"
6-ஆம் வகுப்பு,இயல் 9,ஆசிய ஜோதி யாருடைய வரலாற்றைக் கூறுகிறது?,ஆசிய ஜோதி புத்தர் வரலாற்றைக் கூறுகிறது.,புத்தர்
6-ஆம் வகுப்பு,இயல் 9,கவிமணி தேசிய விநாயகனார் எத்தனை ஆண்டுகள் ஆசிரியராகப் பணியாற்றினார்?,கவிமணி தேசிய விநாயகனார் முப்பத்தாறு ஆண்டுகள் ஆசிரியராகப் பணியாற்றினார்.,முப்பத்தாறு
6-ஆம் வகுப்பு,இயல் 9,அன்னை தெரசாவிற்கு எதற்காக நோபல் பரிசு கிடைத்தது?,அன்னை தெரசாவிற்கு அமைதிக்கான நோபல் பரிசு கிடைத்தது.,அமைதிக்கான
6-ஆம் வகுப்பு,இயல் 9,வாழ்க்கையில் அமைதியைக் கொண்டுவரக் கூடியது எது?,வாழ்க்கையில் அமைதியைக் கொண்டுவரக் கூடியது அன்பு ஆகும்.,அன்பு
6-ஆம் வகுப்பு,இயல் 9,கைலாஷ் சத்யார்த்தி தொடங்கிய இயக்கம் எது?,கைலாஷ் சத்யார்த்தி தொடங்கிய இயக்கம் குழந்தைகளைப் பாதுகாப்போம் என்பதாகும்.,பாதுகாப்போம்
6-ஆம் வகுப்பு,இயல் 9,குழந்தைகள் தொழிலாளர்களாக மாற்றப்படுவது மனிதத் தன்மைக்கு எதிரான குற்றம் என்றவர் யார்?,குழந்தைகள் தொழிலாளர்களாக மாற்றப்படுவது மனிதத் தன்மைக்கு எதிரான குற்றம் என்றவர் கைலாஷ் சத்யார்த்தி.,"கைலாஷ், சத்யார்த்தி"
6-ஆம் வகுப்பு,இயல் 9,வாடிய பயிரைக் கண்டபோதெல்லாம் வாடினேன் என்று கூறியவர் யார்?,வாடிய பயிரைக் கண்டபோதெல்லாம் வாடினேன் என்று கூறியவர் வள்ளலார் ஆவார்.,வள்ளலார்
6-ஆம் வகுப்பு,இயல் 9,வள்ளலார் சத்திய தரும சாலையை எங்கு நிறுவினார்?,வள்ளலார் சத்திய தரும சாலையை வடலூரில் நிறுவினார்.,வடலூரில்
7-ஆம் வகுப்பு,இயல் 1,எங்கள் தமிழ் என்னும் பாடலை எழுதியவர் யார்?,எங்கள் தமிழ் என்னும் பாடலை எழுதியவர் நாமக்கல் கவிஞர் ஆவார்.,"நாமக்கல், கவிஞர்"
7-ஆம் வகுப்பு,இயல் 1,காந்தியக் கவிஞர் என்று அழைக்கப்படுபவர் யார்?,காந்தியக் கவிஞர் என்று அழைக்கப்படுபவர் நாமக்கல் கவிஞர் ஆவார்.,நாமக்கல்
7-ஆம் வகுப்பு,இயல் 1,நாமக்கல் கவிஞர் தமிழகத்தின் எத்தனையாவது அரசவைக் கவிஞர்?,நாமக்கல் கவிஞர் தமிழகத்தின் முதல் அரசவைக் கவிஞர்.,முதல்
7-ஆம் வகுப்பு,இயல் 1,ஒன்றல்ல இரண்டல்ல பாடலின் ஆசிரியர் யார்?,ஒன்றல்ல இரண்டல்ல பாடலின் ஆசிரியர் உடுமலை நாராயணகவி ஆவார்.,"உடுமலை, நாராயணகவி"
7-ஆம் வகுப்பு,இயல் 1,பகுத்தறிவுக் கவிராயர் என்று புகழப்படுபவர் யார்?,பகுத்தறிவுக் கவிராயர் என்று புகழப்படுபவர் உடுமலை நாராயணகவி ஆவார்.,நாராயணகவி
7-ஆம் வகுப்பு,இயல் 1,முல்லைக்குத் தேர் தந்து மழைமேகத்தை விடப் புகழ் பெற்றவர் யார்?,முல்லைக்குத் தேர் தந்து மழைமேகத்தை விடப் புகழ் பெற்றவர் பாரி ஆவார்.,பாரி
7-ஆம் வகுப்பு,இயல் 1,புலவரின் சொல்லுக்காகத் தன் தலையையே தரத் துணிந்தவன் யார்?,புலவரின் சொல்லுக்காகத் தன் தலையையே தரத் துணிந்தவன் குமணன் ஆவான்.,குமணன்
7-ஆம் வகுப்பு,இயல் 1,பேச்சு மொழியை எவ்வாறு அழைப்பர்?,பேச்சு மொழியை உலக வழக்கு என்று அழைப்பர்.,"உலக, வழக்கு"
7-ஆம் வகுப்பு,இயல் 1,எழுத்து மொழியை எவ்வாறு அழைப்பர்?,எழுத்து மொழியை இலக்கிய வழக்கு என்று அழைப்பர்.,"இலக்கிய, வழக்கு"
7-ஆம் வகுப்பு,இயல் 1,எடுத்தல் படுத்தல் நலிதல் உழப்பில் திரிபும் தத்தமில் சிறிது உளவாகும் எனக் கூறும் நூல் எது?,எடுத்தல் படுத்தல் நலிதல் உழப்பில் திரிபும் தத்தமில் சிறிது உளவாகும் எனக் கூறும் நூல் நன்னூல் ஆகும்.,நன்னூல்
